player_id,season,oz_starts,dz_starts
8475225,20252026,,
8475231,20232024,0.1957,0.4345
8475231,20242025,0.2805,0.3592
8475231,20252026,0.2876,0.3182
8475233,20232024,0.3286,0.3481
8475233,20242025,0.2572,0.3338
8475233,20252026,,
8475235,20232024,0.3343,0.2521
8475235,20242025,0.2622,0.2378
8475235,20252026,0.3026,0.3128
8475278,20232024,0.1667,0.3947
8475278,20242025,,
8475278,20252026,,
8475279,20232024,0.2656,0.3696
8475279,20242025,0.3027,0.3637
8475279,20252026,0.3274,0.3466
8475287,20232024,0.3308,0.3319
8475287,20242025,0.298,0.3523
8475287,20252026,0.3399,0.3492
8475314,20232024,0.3883,0.3175
8475314,20242025,0.3387,0.3187
8475314,20252026,0.3692,0.3122
8475324,20232024,0.2624,0.3688
8475324,20242025,0.3358,0.3239
8475324,20252026,0.3152,0.3043
8475343,20232024,0.0796,0.6368
8475343,20242025,0.0941,0.5351
8475343,20252026,0.1766,0.4582
8475413,20232024,0.2,0.4
8475413,20242025,0.2947,0.2816
8475413,20252026,0.0,0.6667
8475455,20232024,0.2637,0.3691
8475455,20242025,0.368,0.2767
8475455,20252026,0.3563,0.3473
8475462,20232024,0.2557,0.3876
8475462,20242025,0.2817,0.4137
8475462,20252026,0.3184,0.3248
8475690,20232024,0.2713,0.3744
8475690,20242025,0.2021,0.4018
8475690,20252026,0.2157,0.3725
8475692,20232024,0.3894,0.26
8475692,20242025,0.3884,0.2921
8475692,20252026,0.3981,0.2621
8475714,20232024,0.3627,0.3285
8475714,20242025,0.1858,0.4044
8475714,20252026,0.1574,0.439
8475718,20232024,0.3326,0.3038
8475718,20242025,0.3766,0.2947
8475718,20252026,0.3152,0.3152
8475722,20232024,0.3163,0.3617
8475722,20242025,0.2958,0.3568
8475722,20252026,0.3604,0.3318
8475726,20232024,0.4095,0.2307
8475726,20242025,0.3401,0.3141
8475726,20252026,0.339,0.3447
8475744,20232024,0.3854,0.2701
8475744,20242025,,
8475744,20252026,,
8475745,20232024,0.2888,0.4187
8475745,20242025,0.276,0.412
8475745,20252026,0.2632,0.4295
8475750,20232024,0.3821,0.2909
8475750,20242025,0.2734,0.3792
8475750,20252026,,
8475752,20232024,0.2201,0.3433
8475752,20242025,,
8475752,20252026,0.1809,0.4874
8475753,20232024,0.3405,0.3713
8475753,20242025,0.3258,0.3517
8475753,20252026,0.3265,0.3359
8475754,20232024,0.3645,0.2867
8475754,20242025,0.3671,0.3271
8475754,20252026,0.3481,0.3315
8475760,20232024,0.2627,0.3861
8475760,20242025,0.2985,0.3173
8475760,20252026,0.2713,0.3547
8475762,20232024,0.1818,0.4522
8475762,20242025,0.2466,0.3936
8475762,20252026,0.3333,0.3333
8475763,20232024,0.2878,0.434
8475763,20242025,0.3161,0.3697
8475763,20252026,0.3359,0.3282
8475764,20232024,0.343,0.3383
8475764,20242025,0.3218,0.361
8475764,20252026,0.368,0.3236
8475765,20232024,0.3429,0.3014
8475765,20242025,0.3377,0.3276
8475765,20252026,0.3063,0.3586
8475766,20232024,0.2392,0.3397
8475766,20242025,0.358,0.2346
8475766,20252026,,
8475768,20232024,0.3605,0.3565
8475768,20242025,0.3191,0.34
8475768,20252026,0.3057,0.3782
8475780,20232024,0.2459,0.3443
8475780,20242025,0.1739,0.4099
8475780,20252026,,
8475784,20232024,0.4044,0.2592
8475784,20242025,0.3773,0.2516
8475784,20252026,0.2697,0.4195
8475786,20232024,0.4383,0.2791
8475786,20242025,0.4483,0.2495
8475786,20252026,0.4261,0.2562
8475790,20232024,0.3049,0.3671
8475790,20242025,0.2325,0.3904
8475790,20252026,0.2506,0.3986
8475791,20232024,0.2857,0.2619
8475791,20242025,0.3521,0.324
8475791,20252026,0.4362,0.2139
8475793,20232024,0.3062,0.3811
8475793,20242025,,
8475793,20252026,,
8475794,20232024,0.3569,0.3349
8475794,20242025,0.4109,0.2868
8475794,20252026,0.2985,0.3969
8475795,20232024,0.3077,0.4231
8475795,20242025,0.3486,0.3086
8475795,20252026,0.2019,0.4038
8475797,20232024,0.1878,0.4567
8475797,20242025,,
8475797,20252026,,
8475798,20232024,0.2931,0.3682
8475798,20242025,0.3181,0.3373
8475798,20252026,0.3278,0.375
8475799,20232024,0.2259,0.3672
8475799,20242025,0.2233,0.3986
8475799,20252026,0.256,0.3505
8475810,20232024,0.3685,0.2588
8475810,20242025,0.4002,0.268
8475810,20252026,0.3775,0.2651
8475825,20232024,0.2112,0.4033
8475825,20242025,0.4545,0.1818
8475825,20252026,,
8475842,20232024,0.2573,0.3903
8475842,20242025,0.1479,0.5105
8475842,20252026,0.1881,0.4357
8475848,20232024,0.3111,0.3358
8475848,20242025,0.2375,0.3341
8475848,20252026,0.3058,0.3283
8475855,20232024,0.3113,0.2919
8475855,20242025,,
8475855,20252026,,
8475906,20232024,0.4682,0.2428
8475906,20242025,0.338,0.3028
8475906,20252026,0.3592,0.3289
8475913,20232024,0.3929,0.3091
8475913,20242025,0.3968,0.2567
8475913,20252026,0.4103,0.2744
8475958,20232024,0.199,0.3979
8475958,20242025,0.4211,0.2105
8475958,20252026,,
8476278,20232024,0.2759,0.3889
8476278,20242025,0.2652,0.3733
8476278,20252026,0.2377,0.3792
8476292,20232024,0.3099,0.3214
8476292,20242025,0.3822,0.2393
8476292,20252026,0.324,0.3355
8476312,20232024,0.2645,0.3609
8476312,20242025,0.2459,0.3564
8476312,20252026,0.2959,0.3516
8476329,20232024,0.3101,0.3488
8476329,20242025,0.0714,0.5714
8476329,20252026,,
8476331,20232024,0.39,0.297
8476331,20242025,0.4022,0.2878
8476331,20252026,0.375,0.2849
8476346,20232024,0.3492,0.3149
8476346,20242025,,
8476346,20252026,,
8476372,20232024,0.3751,0.3073
8476372,20242025,0.3281,0.3174
8476372,20252026,0.3422,0.3134
8476374,20232024,0.217,0.443
8476374,20242025,0.2178,0.4448
8476374,20252026,0.2081,0.4246
8476389,20232024,0.383,0.344
8476389,20242025,0.3898,0.307
8476389,20252026,0.3485,0.3404
8476392,20232024,0.2218,0.3743
8476392,20242025,0.2029,0.4404
8476392,20252026,0.2563,0.4072
8476393,20232024,0.3723,0.3081
8476393,20242025,0.2722,0.3851
8476393,20252026,0.27,0.281
