,rapm,name,pos,events_onice
8477476,0.10032986702201432,Artturi Lehkonen,L,462
8477478,0.09694338283205842,William Carrier,L,160
8477479,0.22786246536163238,Tyler Bertuzzi,L,585
8477488,-0.12004940161136589,Brett Pesce,D,479
8477492,0.305602921833673,Nathan MacKinnon,C,854
8477493,0.07725486399797019,Aleksander Barkov,C,672
8477494,0.12725655668554667,Jonathan Drouin,L,522
8477495,0.008964814561627881,Seth Jones,D,781
8477496,0.11627342514436047,Elias Lindholm,C,928
8477497,0.12150384761491011,Sean Monahan,C,719
8477498,-0.14341166960052243,Darnell Nurse,D,659
8477499,-0.01584156807843958,Rasmus Ristolainen,D,354
8477500,0.14151693105289964,Bo Horvat,C,746
8477501,0.08596920595532463,Valeri Nichushkin,R,566
8477503,0.09693136207587259,Max Domi,C,344
8477504,0.0771288897303467,Josh Morrissey,D,740
8477505,0.08898158749451945,Alexander Wennberg,C,775
8477506,-0.18965347048734696,Ryan Pulock,D,598
8477507,-0.13890930905644744,Nikita Zadorov,D,753
8477508,-0.06768943744678992,Curtis Lazar,C,259
8477511,0.15326312724080915,Anthony Mantha,R,327
8477527,0.0973851372872429,Ross Johnston,L,194
8477541,-0.02510677212827335,Dakota Mermis,D,118
8477573,0.0940079435425109,Nathan Walker,L,219
8477810,-0.12868003117364143,Joel Hanley,D,270
8477839,0.0789681251274186,Conor Sheary,L,160
8477845,-0.1355973131237545,Trevor van Riemsdyk,D,360
8477846,-0.08654750347264045,Ryan Carpenter,C,96
8477851,-0.05774505524046274,Jordan Oesterle,D,96
8477903,0.060910129792491434,Garnet Hathaway,R,408
8477919,-0.014544297901361865,Frederick Gaudreau,C,497
8477930,-0.05328920846910706,Pierre-Edouard Bellemare,L,73
8477931,-0.03919866563348952,Tomas Nosek,L,192
8477932,-0.11996625335881415,Aaron Ekblad,D,825
8477933,0.2200366516812755,Sam Reinhart,C,1126
8477934,0.1928203444507737,Leon Draisaitl,C,707
8477935,0.06496576035915262,Sam Bennett,C,742
8477938,-0.11512067134463745,Haydn Fleury,D,182
